CustomerID,Lookalikes
C0001,"[('C0189', 0.8655078126098772), ('C0164', 0.8643207429360493), ('C0118', 0.8600170347778571)]"
C0002,"[('C0199', 0.993279930035551), ('C0060', 0.9800030159323602), ('C0151', 0.9798739162598415)]"
C0003,"[('C0027', 0.7165638068601812), ('C0035', 0.6417502520803063), ('C0129', 0.5517686711879496)]"
C0004,"[('C0124', 0.9669752962317312), ('C0109', 0.9518725195200726), ('C0075', 0.9343032278703548)]"
C0005,"[('C0131', 0.9937606807379964), ('C0130', 0.9927760459645354), ('C0150', 0.9918067161516771)]"
C0006,"[('C0079', 0.9983298129719), ('C0196', 0.991065819914899), ('C0168', 0.9182947412814307)]"
C0007,"[('C0080', 0.9893979110539554), ('C0078', 0.9877122464416207), ('C0110', 0.9750269006079794)]"
C0008,"[('C0162', 0.9357500760769905), ('C0017', 0.9335998020950378), ('C0093', 0.9181981120895942)]"
C0009,"[('C0083', 0.9950590446654701), ('C0097', 0.982921767099745), ('C0060', 0.9811003574351388)]"
C0010,"[('C0142', 0.951801157902357), ('C0002', 0.9012712446278491), ('C0071', 0.8929323397166842)]"
C0011,"[('C0064', 0.9832872618029749), ('C0187', 0.9230243214633584), ('C0018', 0.8974987775112913)]"
C0012,"[('C0155', 0.9780501257570097), ('C0013', 0.9685790545703264), ('C0101', 0.9611678779616901)]"
C0013,"[('C0105', 0.9846309589077169), ('C0155', 0.9831980096478028), ('C0012', 0.9685790545703264)]"
C0014,"[('C0058', 0.9962737860764694), ('C0128', 0.9960143122970208), ('C0151', 0.9932949972669841)]"
C0015,"[('C0186', 0.9846779090505299), ('C0131', 0.9821185701868937), ('C0005', 0.9796951102692272)]"
C0016,"[('C0152', 0.9202519223382528), ('C0064', 0.91971398252415), ('C0187', 0.8960799949852364)]"
C0017,"[('C0162', 0.9975697105766836), ('C0075', 0.9653557141390219), ('C0113', 0.9590792630347829)]"
C0018,"[('C0149', 0.9783892221937336), ('C0148', 0.9724006366523571), ('C0138', 0.929238348738563)]"
C0019,"[('C0069', 0.8960958709945321), ('C0002', 0.889687345162709), ('C0077', 0.8668633474352738)]"
C0020,"[('C0110', 0.9987634534258231), ('C0078', 0.9949828833229166), ('C0080', 0.99382340429898)]"
